"File","Source","Sha256","Bytes","GeneratedAt","CollectedAt","BackedUpTo"
"artifacts\pdf\abs-aps-g2-zoo-relations-2026-06-11.pdf","artifacts\pdf\abs-aps-g2-zoo-relations-2026-06-11.tex","e0f93f64451e1226ddb1ca8cccc92b05423213dccb6267f63b2630692b3f1eb0","808512","2026-06-11T01:23:18","2026-06-20T21:56:18","C:\Users\20010215fjii\マイドライブ\GitHub PDF Backup\My-Reserch-Project\artifacts\pdf\abs-aps-g2-zoo-relations-2026-06-11.pdf"
"artifacts\pdf\ams-aps-raps-model-classification-2026-06-11.pdf","research\notes\ams-aps-raps-model-classification-2026-06-11.tex","07dd88d0b56e34a84b7b69b3ed1f18627671d5d85d00e2d0b212a47001cbc548","205691","2026-06-11T01:13:24","2026-06-20T21:56:18","C:\Users\20010215fjii\マイドライブ\GitHub PDF Backup\My-Reserch-Project\artifacts\pdf\ams-aps-raps-model-classification-2026-06-11.pdf"
"artifacts\pdf\ams-aps-raps-model-classification-2026-06-11-07dd88d0.pdf","artifacts\slides\chatgpt-project\ams-aps-raps-model-classification-2026-06-11.pdf","07dd88d0b56e34a84b7b69b3ed1f18627671d5d85d00e2d0b212a47001cbc548","205691","","2026-06-20T21:56:18","C:\Users\20010215fjii\マイドライブ\GitHub PDF Backup\My-Reserch-Project\artifacts\pdf\ams-aps-raps-model-classification-2026-06-11-07dd88d0.pdf"
"artifacts\pdf\chatgpt-share-import-2026-05-30.pdf","artifacts\pdf\chatgpt-share-import-2026-05-30.md","11016d8fe4aae61e556478aa3f2632fb11d2ec4d71072f8abd4d73926fcd3272","120805","2026-05-30T21:29:04","2026-06-20T21:56:18","C:\Users\20010215fjii\マイドライブ\GitHub PDF Backup\My-Reserch-Project\artifacts\pdf\chatgpt-share-import-2026-05-30.pdf"
"artifacts\pdf\consistency-cut-infinite-g2-zoo-2026-06-11.pdf","artifacts\pdf\consistency-cut-infinite-g2-zoo-2026-06-11.md","50ff555c852feff7193c08d0dcf7cdce4498a6e96ab2dc97ece789bbbe33d182","47903","2026-06-11T02:21:30","2026-06-20T21:56:18","C:\Users\20010215fjii\マイドライブ\GitHub PDF Backup\My-Reserch-Project\artifacts\pdf\consistency-cut-infinite-g2-zoo-2026-06-11.pdf"
"artifacts\pdf\derived-pro-cokernel-phantom-2026-06-11.pdf","artifacts\pdf\derived-pro-cokernel-phantom-2026-06-11.md","52027f6cf592b5e05cedc30df7048cf475890d2e8c99b3860b672ca190c9e840","43575","2026-06-11T01:33:59","2026-06-20T21:56:18","C:\Users\20010215fjii\マイドライブ\GitHub PDF Backup\My-Reserch-Project\artifacts\pdf\derived-pro-cokernel-phantom-2026-06-11.pdf"
"artifacts\pdf\derived-pro-epsilon-comparison-2026-06-11.pdf","artifacts\pdf\derived-pro-epsilon-comparison-2026-06-11.md","44d8ab6bbeb03d94beac5c801819fe589ce436d2b96098d62456c61e3e427dec","47273","2026-06-11T03:10:11","2026-06-20T21:56:18","C:\Users\20010215fjii\マイドライブ\GitHub PDF Backup\My-Reserch-Project\artifacts\pdf\derived-pro-epsilon-comparison-2026-06-11.pdf"
"artifacts\pdf\discussion-summary-2026-05-30.pdf","artifacts\pdf\discussion-summary-2026-05-30.md","73d73bc4ad501b08f9e68b30f8a8a429a55b122b3364cb32d2b0d054f787694a","138361","2026-05-30T20:02:31","2026-06-20T21:56:18","C:\Users\20010215fjii\マイドライブ\GitHub PDF Backup\My-Reserch-Project\artifacts\pdf\discussion-summary-2026-05-30.pdf"
"artifacts\pdf\duality-normalization-loeb-rosser-2026-06-10.pdf","artifacts\pdf\duality-normalization-loeb-rosser-2026-06-10.md","b80e594e1819a40b216de1cf1e51f4ffc9ce6f1233d3753b66b846a9ccdaf066","42921","2026-06-11T00:57:02","2026-06-20T21:56:18","C:\Users\20010215fjii\マイドライブ\GitHub PDF Backup\My-Reserch-Project\artifacts\pdf\duality-normalization-loeb-rosser-2026-06-10.pdf"
"artifacts\pdf\h-epsilon-universal-property-2026-06-11.pdf","artifacts\pdf\h-epsilon-universal-property-2026-06-11.md","11d5e37eb6ff99fdddb3068b6aa35e20526fbf4f880ef9d3e5b9cc8effadac6e","44005","2026-06-11T14:10:26","2026-06-20T21:56:18","C:\Users\20010215fjii\マイドライブ\GitHub PDF Backup\My-Reserch-Project\artifacts\pdf\h-epsilon-universal-property-2026-06-11.pdf"
"artifacts\pdf\hybrid-exact-epsilon-category-2026-06-11.pdf","artifacts\pdf\hybrid-exact-epsilon-category-2026-06-11.md","cf4c2eaddf0ac45e22c808bba3802da88bb5961dcefdfa473dc1ccbed4f2d1ec","49577","2026-06-11T06:59:55","2026-06-20T21:56:18","C:\Users\20010215fjii\マイドライブ\GitHub PDF Backup\My-Reserch-Project\artifacts\pdf\hybrid-exact-epsilon-category-2026-06-11.pdf"
"artifacts\pdf\infinite-ams-aps-raps-models-2026-06-11.pdf","research\notes\infinite-ams-aps-raps-models-2026-06-11.tex","e5784655df23d629a32b8efe815b42aba609806194c617dd1e8a6c1c6489880c","165063","2026-06-11T01:43:21","2026-06-20T21:56:18","C:\Users\20010215fjii\マイドライブ\GitHub PDF Backup\My-Reserch-Project\artifacts\pdf\infinite-ams-aps-raps-models-2026-06-11.pdf"
"artifacts\pdf\infinite-ams-aps-raps-models-2026-06-11-e5784655.pdf","artifacts\slides\chatgpt-project\infinite-ams-aps-raps-models-2026-06-11.pdf","e5784655df23d629a32b8efe815b42aba609806194c617dd1e8a6c1c6489880c","165063","","2026-06-20T21:56:18","C:\Users\20010215fjii\マイドライブ\GitHub PDF Backup\My-Reserch-Project\artifacts\pdf\infinite-ams-aps-raps-models-2026-06-11-e5784655.pdf"
"artifacts\pdf\intrinsic-projector-realization-2026-06-11.pdf","artifacts\pdf\intrinsic-projector-realization-2026-06-11.md","32c653c0de90edde0579c1aaec92f6bfa94c2adebb97b000fd25fa77a43cf82b","42872","2026-06-11T14:57:40","2026-06-20T21:56:18","C:\Users\20010215fjii\マイドライブ\GitHub PDF Backup\My-Reserch-Project\artifacts\pdf\intrinsic-projector-realization-2026-06-11.pdf"
"artifacts\pdf\pathological-ams-rams-model-atlas-2026-06-11.pdf","research\notes\pathological-ams-rams-model-atlas-2026-06-11.tex","ff1720730a2c8882b28e20ab06a434ff763bc74558465de6d4271ec840929f2a","210150","2026-06-11T02:00:25","2026-06-20T21:56:18","C:\Users\20010215fjii\マイドライブ\GitHub PDF Backup\My-Reserch-Project\artifacts\pdf\pathological-ams-rams-model-atlas-2026-06-11.pdf"
"artifacts\pdf\pathological-ams-rams-model-atlas-2026-06-11-ff172073.pdf","artifacts\slides\chatgpt-project\pathological-ams-rams-model-atlas-2026-06-11.pdf","ff1720730a2c8882b28e20ab06a434ff763bc74558465de6d4271ec840929f2a","210150","","2026-06-20T21:56:18","C:\Users\20010215fjii\マイドライブ\GitHub PDF Backup\My-Reserch-Project\artifacts\pdf\pathological-ams-rams-model-atlas-2026-06-11-ff172073.pdf"
"artifacts\pdf\project-note-depth-policy-2026-05-30.pdf","artifacts\pdf\project-note-depth-policy-2026-05-30.md","24a6e6a155bd7576fe9e6aa15623079733d4662673257e3b3fe2badd1e2d9c44","93383","2026-05-31T00:06:40","2026-06-20T21:56:18","C:\Users\20010215fjii\マイドライブ\GitHub PDF Backup\My-Reserch-Project\artifacts\pdf\project-note-depth-policy-2026-05-30.pdf"
"artifacts\pdf\residuated_APS_principles.pdf","artifacts\pdf\residuated_APS_principles.pdf","bd9fe865e988d1de5f110bc050dc960a9fa72535ecaeecf7be2037a63978345e","89804","","2026-06-20T21:56:18","C:\Users\20010215fjii\マイドライブ\GitHub PDF Backup\My-Reserch-Project\artifacts\pdf\residuated_APS_principles.pdf"
"artifacts\pdf\restricted-product-adelic-duality-2026-06-11.pdf","artifacts\pdf\restricted-product-adelic-duality-2026-06-11.md","545b792976c562515e94e32700fad6738068c2325b01be63343ee4e03fcdb90b","44130","2026-06-11T01:04:59","2026-06-20T21:56:18","C:\Users\20010215fjii\マイドライブ\GitHub PDF Backup\My-Reserch-Project\artifacts\pdf\restricted-product-adelic-duality-2026-06-11.pdf"
"artifacts\pdf\restricted-product-epsilon-duality-2026-06-11.pdf","artifacts\pdf\restricted-product-epsilon-duality-2026-06-11.md","1111e681df7f79b3ecdcaa3e11b1e0f0e3feefb00c62026b2d25289e20dd4307","46804","2026-06-11T03:18:30","2026-06-20T21:56:18","C:\Users\20010215fjii\マイドライブ\GitHub PDF Backup\My-Reserch-Project\artifacts\pdf\restricted-product-epsilon-duality-2026-06-11.pdf"
"artifacts\pdf\selective-median-front-groups-2026-06-01.pdf","artifacts\pdf\selective-median-front-groups-2026-06-01.md","cb597a3ad4a558a1d6a0a6d3d47fe209044fd056965d1d7e610e0549f7a1ab8c","46494","2026-06-01T16:06:43","2026-06-20T21:56:18","C:\Users\20010215fjii\マイドライブ\GitHub PDF Backup\My-Reserch-Project\artifacts\pdf\selective-median-front-groups-2026-06-01.pdf"
"artifacts\pdf\tagged-proab-realization-2026-06-11.pdf","artifacts\pdf\tagged-proab-realization-2026-06-11.md","4161f417bdae0bf9ffb699ff31b8f111eeada75d1d993464fdea6786e9173ef4","44778","2026-06-11T14:16:43","2026-06-20T21:56:18","C:\Users\20010215fjii\マイドライブ\GitHub PDF Backup\My-Reserch-Project\artifacts\pdf\tagged-proab-realization-2026-06-11.pdf"
"artifacts\pdf\verdier-dual-loeb-rosser-2026-06-10.pdf","artifacts\pdf\verdier-dual-loeb-rosser-2026-06-10.md","a047734cfc541ad0b5d469d1e066a02a1b1d63ac8c4debe1c96b59e2434f9f07","43664","2026-06-10T22:02:26","2026-06-20T21:56:18","C:\Users\20010215fjii\マイドライブ\GitHub PDF Backup\My-Reserch-Project\artifacts\pdf\verdier-dual-loeb-rosser-2026-06-10.pdf"
"artifacts\pdf\solenoid-exact-triangle-correction-2026-06-20.pdf","artifacts\pdf\solenoid-exact-triangle-correction-2026-06-20.md","81590e0abbda30e322fd7e48b3c9da8e0700b70cc2955c6c3a769b8509d7e9c8","42968","2026-06-20T23:17:00","",""
"artifacts\pdf\stratified-pro-site-realization-2026-06-11.pdf","artifacts\pdf\stratified-pro-site-realization-2026-06-11.md","590bbff707ab9d4d7bd9ff6d0da4bfe5b0e830fd9c6ecd9b69fab1faa682b274","49635","2026-06-20T23:17:38","",""
"artifacts\pdf\derived-solid-realization-2026-06-12.pdf","artifacts\pdf\derived-solid-realization-2026-06-12.md","34d71326d11bbdea8d87a22d027942c6e25a513672cdbc039aebd2b1c0588874","41799","2026-06-20T23:17:50","",""
