SourceKind,Title,Url,NoteFile,Relay
ChatGPTShare,BS16 Cut Elimination as Fibered Residuated APS,https://chatgpt.com/share/6a0f9763-a68c-8323-ad6b-452b82ea8b3b,research/notes/bs16-fiber-residuated-aps.md,Research Project
ChatGPTShare,MND4-preAPS and Fixed Point Obstruction,https://chatgpt.com/share/6a0fbc5a-a86c-8322-8ce7-1888af5f455e,research/notes/mnd4-preaps-fixedpoint-obstruction.md,Research Project
ChatGPTShare,Analytic APS,https://chatgpt.com/share/6a0fbc70-69ac-8323-b5a8-7b32313ce6b6,research/notes/analytic-aps.md,Research Project
ChatGPTShare,Fixed Point Existence in Residuated Algebra,https://chatgpt.com/share/6a0fbc80-8e2c-8324-b690-5676347231cf,research/notes/residuated-fixedpoint-existence.md,Research Project
ChatGPTShare,Completion and Fixed Points,https://chatgpt.com/share/6a0fbc8e-e630-8324-91df-73add1286869,research/notes/completion-and-fixed-points.md,Research Project
ChatGPTShare,Self-Existence Sentences,https://chatgpt.com/share/6a0fbc9d-be30-8324-9ae2-943bd3ed2b14,research/notes/self-existence-sentences.md,Research Project
ChatGPTShare,Residuated Algebra Domain Theory and Completion,https://chatgpt.com/share/6a0cbab3-b174-83ab-8a89-db8a746eacda,research/notes/residuated-algebra-domain-completion.md,Research Project
ChatGPTShare,APS and Monad / Computational Effects,https://chatgpt.com/share/6a05e7b4-21cc-83e9-bc3b-366beee708c7,research/notes/aps-monad-computational-effects.md,Research Project Handoff
ChatGPTShare,Indexed APS / Fibred Algebra,https://chatgpt.com/share/6a091206-9c54-83e8-8c17-602c5572e247,research/notes/indexed-aps-fibred-algebra.md,Research Project Handoff
ChatGPTShare,APS from Arithmetic / Realization Kernel,https://chatgpt.com/share/6a023ac5-ad64-83e8-93af-d2ba789ca554,research/notes/aps-arithmetic-realization-kernel.md,Research Project Handoff
ChatGPTShare,APS and Domain Theory / Scott Continuity,https://chatgpt.com/share/69fbf42a-8de0-83e8-8cff-9b51f13a16c0,research/notes/predicate-topology-fixed-points.md,Research Project Handoff
ChatGPTShare,APS Cardinal Invariants / Fixed Point Spectrum,https://chatgpt.com/share/6a0b7536-836c-83ab-ae90-5eb16748d05e,research/notes/aps-cardinal-invariants-fixed-points.md,Research Project Handoff
ChatGPTShare,G2-ZOO Topological Taming,https://chatgpt.com/share/6a0bc487-fc1c-83a5-80c3-fbac672889a4,research/notes/g2-zoo-topological-taming.md,Research Project Handoff
ChatGPTShare,G2/FG2 Hierarchy and n-FG2,https://chatgpt.com/share/6a0a7f2e-eec4-83ec-adc2-7fadc3feb442,research/notes/g2-fg2-hierarchy.md,Research Project Handoff
ChatGPTShare,Local-FG2 Pullback and APS Zoo,https://chatgpt.com/share/6a0b9917-ef00-83a7-a14d-57f0788adab2,research/notes/local-fg2-pullback-aps-zoo.md,Research Project Handoff
ChatGPTShare,Self and Mutual Reference Hierarchy,https://chatgpt.com/share/69fcbd5f-d1c0-83e8-a682-187480ed5d1f,research/notes/self-mutual-reference-hierarchy.md,Research Project Handoff
ChatGPTShare,Smullyan Lawvere Categorical Diagonalization,https://chatgpt.com/share/6a06498e-c108-83e8-941c-75b1931bbc3a,research/notes/smullyan-lawvere-categorical-diagonalization.md,Research Project Handoff
ChatGPTShare,Generalized Proof Structures,https://chatgpt.com/share/69feffe9-1da0-83e8-a4af-c6b6ecbc4765,research/notes/generalized-proof-structures.md,Research Project Handoff
ChatGPTShare,Formalized G2 in Implicational APS,https://chatgpt.com/share/6a1ac9e4-2f80-8322-8d1a-9da8dce59177,research/notes/formalized-g2-implicational-aps.md,Research Project Batch 2026-05-30
ChatGPTShare,Provability Predicate in Weak APS,https://chatgpt.com/share/6a1ac9ff-0b20-83a5-8adf-2ce37a8708d1,research/notes/provability-predicate-weak-aps.md,Research Project Batch 2026-05-30
ChatGPTShare,Self-Elimination Logic,https://chatgpt.com/share/6a143fbc-a1b0-8321-9149-bb06c05af8b7,research/notes/self-elimination-logic.md,Research Project Batch 2026-05-30
ChatGPTShare,Sequential Pair Theory and Indexed APS,https://chatgpt.com/share/6a1aca33-434c-8323-b77c-3f8158ecf52a,research/notes/sequential-pair-theory-indexed-aps.md,Research Project Batch 2026-05-30
ChatGPTShare,Research Project Share Links Batch,https://chatgpt.com/share/6a1aca8a-49d8-8324-9b61-d6dbfcb878ee,research/notes/research-project-chat-links-handoff.md,Research Project Batch 2026-05-30
